hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
6/5/2023-10:47:14::4::45::454,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::4::45::454,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::4::47::479,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::4::47::479,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::5::52::528,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::5::52::528,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::5::55::554,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::5::55::554,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::6::60::604,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:14::6::60::604,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::6::68::680,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::6::68::680,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::7::73::731,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::7::73::731,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::7::75::754,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::7::75::754,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::80::803,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::80::803,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::82::829,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::82::829,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::87::879,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::8::87::879,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::9::92::929,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::9::92::929,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::9::95::956,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::9::95::956,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::0::4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::0::4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::2::29,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::2::29,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::8::80,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::0::8::80,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::1::12::129,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::1::12::129,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::1::15::154,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::1::15::154,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::20::205,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::20::205,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::27::279,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::2::27::279,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::3::32::328,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::3::32::328,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::3::35::356,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::3::35::356,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::4::40::403,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-10:47:15::4::40::403,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
